N,nprocs,tol,max_iters,mode,converged,iters,res0,res_final,rel_final,l2_error,max_error,runtime_sec
257,1,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897637473e-07,9.40825001187e-09,-1,-1,0.21848871
257,2,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897250193e-07,9.40824147673e-09,-1,-1,0.166591332
257,4,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897634317e-07,9.40824994231e-09,-1,-1,0.115071579
257,8,1e-08,10000,GenericRHS,1,399,45.3748185831,4.26897767441e-07,9.40825287618e-09,-1,-1,0.101965365
513,1,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031130812e-07,9.58715822983e-09,-1,-1,1.113857812
513,2,1e-08,10000,GenericRHS,1,776,90.7496371662,8.7003113151e-07,9.58715823751e-09,-1,-1,0.660069163
513,4,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031133755e-07,9.58715826226e-09,-1,-1,0.451946192
513,8,1e-08,10000,GenericRHS,1,776,90.7496371662,8.70031136563e-07,9.5871582932e-09,-1,-1,0.300959905
1025,1,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407417644e-06,9.9949390052e-09,-1,-1,8.14225406
1025,2,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407416508e-06,9.99493894262e-09,-1,-1,4.307801416
1025,4,1e-08,10000,GenericRHS,1,1558,181.499274332,1.814074197e-06,9.9949391185e-09,-1,-1,2.331810879
1025,8,1e-08,10000,GenericRHS,1,1558,181.499274332,1.81407417109e-06,9.99493897572e-09,-1,-1,1.360266688
2049,1,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511553e-06,9.53974920358e-09,-1,-1,63.788004064
2049,2,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511345e-06,9.53974919786e-09,-1,-1,32.747001971
2049,4,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511317e-06,9.53974919709e-09,-1,-1,17.028038343
2049,8,1e-08,10000,GenericRHS,1,3140,362.998548665,3.46291511194e-06,9.5397491937e-09,-1,-1,8.729202462
4097,1,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596904962e-06,9.99448768639e-09,-1,-1,531.348323605
4097,2,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596727641e-06,9.99448524395e-09,-1,-1,267.642744129
4097,4,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596693518e-06,9.99448477393e-09,-1,-1,133.783485286
4097,8,1e-08,10000,GenericRHS,1,6321,725.99709733,7.25596692448e-06,9.9944847592e-09,-1,-1,67.791031223
